======= Starting work ========
initializing Nn_top
Initializing Global INT Controller
Setting up Interrupt Controller
***** Loading lenet with biases ******
Initializing weights layer 1
Initializing weights layer 2
Initializing bias layer 1
Initializing bias layer 2
Done Initializations ...
Interrupts ready to go ...
Done flushing memorySending input data
Starting IP
Time: 0.000058440 ms

Fps: 17111.57

Hardware[0] = 30,	 gold[0] = 30
Hardware[264] = 32,	 gold[264] = 32
Hardware[265] = 44080,	 gold[265] = 44080
Hardware[266] = 84,	 gold[266] = 84
Hardware[267] = 47,	 gold[267] = 47
Hardware[268] = 9472,	 gold[268] = 9472
Hardware[269] = 5673,	 gold[269] = 5673
Hardware[270] = 30,	 gold[270] = 30
Hardware[271] = 1792,	 gold[271] = 1792
Hardware[272] = 0,	 gold[272] = 0
Hardware[273] = 256,	 gold[273] = 256
Hardware[274] = 4608,	 gold[274] = 4608
Hardware[275] = 10240,	 gold[275] = 10240
Hardware[276] = 113,	 gold[276] = 113
Hardware[277] = 13,	 gold[277] = 13
Hardware[278] = 4864,	 gold[278] = 4864
Hardware[279] = 0,	 gold[279] = 0
Hardware[280] = 30,	 gold[280] = 30
Hardware[281] = 1792,	 gold[281] = 1792
Hardware[282] = 0,	 gold[282] = 0
Hardware[283] = 0,	 gold[283] = 0
Hardware[284] = 0,	 gold[284] = 0
Hardware[285] = 2816,	 gold[285] = 2816
Hardware[286] = 97,	 gold[286] = 97
Hardware[287] = 8,	 gold[287] = 8
Hardware[288] = 0,	 gold[288] = 0
Hardware[289] = 0,	 gold[289] = 0
Hardware[290] = 30,	 gold[290] = 30
Hardware[291] = 256,	 gold[291] = 256
Hardware[292] = 0,	 gold[292] = 0
Hardware[293] = 0,	 gold[293] = 0
Hardware[294] = 0,	 gold[294] = 0
Hardware[295] = 0,	 gold[295] = 0
Hardware[296] = 97,	 gold[296] = 97
Hardware[297] = 0,	 gold[297] = 0
Hardware[298] = 0,	 gold[298] = 0
Hardware[299] = 0,	 gold[299] = 0
Hardware[300] = 30,	 gold[300] = 30
Hardware[301] = 25133,	 gold[301] = 25133
Hardware[302] = 69,	 gold[302] = 69
Hardware[303] = 0,	 gold[303] = 0
Hardware[304] = 0,	 gold[304] = 0
Hardware[305] = 32512,	 gold[305] = 32512
Hardware[306] = 106,	 gold[306] = 106
Hardware[307] = 1,	 gold[307] = 1
Hardware[308] = 44032,	 gold[308] = 44032
Hardware[309] = 0,	 gold[309] = 0
Hardware[310] = 52224,	 gold[310] = 52224
Hardware[311] = 34085,	 gold[311] = 34085
Hardware[312] = 255,	 gold[312] = 255
Hardware[313] = 0,	 gold[313] = 0
Hardware[314] = 44288,	 gold[314] = 44288
Hardware[315] = 28415,	 gold[315] = 28415
Hardware[316] = 13,	 gold[316] = 13
Hardware[317] = 0,	 gold[317] = 0
Hardware[318] = 65317,	 gold[318] = 65317
Hardware[319] = 65280,	 gold[319] = 65280
Hardware[320] = 65280,	 gold[320] = 65280
Hardware[321] = 65535,	 gold[321] = 65535
Hardware[322] = 0,	 gold[322] = 0
Hardware[323] = 0,	 gold[323] = 0
Hardware[324] = 55040,	 gold[324] = 55040
Hardware[325] = 22485,	 gold[325] = 22485
Hardware[326] = 0,	 gold[326] = 0
Hardware[327] = 0,	 gold[327] = 0
Hardware[328] = 4,	 gold[328] = 4
Hardware[329] = 65301,	 gold[329] = 65301
Hardware[330] = 30,	 gold[330] = 30
Hardware[331] = 35840,	 gold[331] = 35840
Hardware[332] = 0,	 gold[332] = 0
Hardware[333] = 768,	 gold[333] = 768
Hardware[334] = 0,	 gold[334] = 0
Hardware[335] = 46848,	 gold[335] = 46848
Hardware[336] = 1154,	 gold[336] = 1154
Hardware[337] = 41,	 gold[337] = 41
Hardware[338] = 8704,	 gold[338] = 8704
Hardware[339] = 3,	 gold[339] = 3
Hardware[340] = 30,	 gold[340] = 30
Hardware[341] = 256,	 gold[341] = 256
Hardware[342] = 0,	 gold[342] = 0
Hardware[343] = 0,	 gold[343] = 0
Hardware[344] = 4608,	 gold[344] = 4608
Hardware[345] = 0,	 gold[345] = 0
Hardware[346] = 97,	 gold[346] = 97
Hardware[347] = 2,	 gold[347] = 2
Hardware[348] = 0,	 gold[348] = 0
Hardware[349] = 0,	 gold[349] = 0
Hardware[350] = 30,	 gold[350] = 30
Hardware[351] = 1792,	 gold[351] = 1792
Hardware[352] = 0,	 gold[352] = 0
Hardware[353] = 0,	 gold[353] = 0
Hardware[354] = 0,	 gold[354] = 0
Hardware[355] = 2816,	 gold[355] = 2816
Hardware[356] = 97,	 gold[356] = 97
Hardware[357] = 8,	 gold[357] = 8
Hardware[358] = 0,	 gold[358] = 0
Hardware[359] = 0,	 gold[359] = 0
Hardware[360] = 30,	 gold[360] = 30
Hardware[361] = 4869,	 gold[361] = 4869
Hardware[362] = 0,	 gold[362] = 0
Hardware[363] = 0,	 gold[363] = 0
Hardware[364] = 0,	 gold[364] = 0
Hardware[365] = 9216,	 gold[365] = 9216
Hardware[366] = 99,	 gold[366] = 99
Hardware[367] = 2,	 gold[367] = 2
Hardware[368] = 2304,	 gold[368] = 2304
Hardware[369] = 0,	 gold[369] = 0
Hardware[370] = 0,	 gold[370] = 0
Hardware[371] = 39983,	 gold[371] = 39983
Hardware[372] = 3063,	 gold[372] = 3063
Hardware[373] = 2048,	 gold[373] = 2048
Hardware[374] = 20992,	 gold[374] = 20992
Hardware[375] = 32564,	 gold[375] = 32564
Hardware[376] = 66,	 gold[376] = 66
Hardware[377] = 0,	 gold[377] = 0
Hardware[378] = 65289,	 gold[378] = 65289
Hardware[379] = 57856,	 gold[379] = 57856
Hardware[380] = 65280,	 gold[380] = 65280
Hardware[381] = 65535,	 gold[381] = 65535
Hardware[382] = 16127,	 gold[382] = 16127
Hardware[383] = 0,	 gold[383] = 0
Hardware[384] = 65280,	 gold[384] = 65280
Hardware[385] = 245,	 gold[385] = 245
Hardware[386] = 0,	 gold[386] = 0
Hardware[387] = 8192,	 gold[387] = 8192
Hardware[388] = 2355,	 gold[388] = 2355
Hardware[389] = 65317,	 gold[389] = 65317
Hardware[390] = 65280,	 gold[390] = 65280
Hardware[391] = 65535,	 gold[391] = 65535
Hardware[392] = 0,	 gold[392] = 0
Hardware[393] = 1024,	 gold[393] = 1024
Hardware[394] = 51,	 gold[394] = 51
Hardware[395] = 53760,	 gold[395] = 53760
Hardware[396] = 644,	 gold[396] = 644
Hardware[397] = 1069,	 gold[397] = 1069
Hardware[398] = 11777,	 gold[398] = 11777
Hardware[399] = 36,	 gold[399] = 36
Hardware[400] = 30,	 gold[400] = 30
Hardware[401] = 1024,	 gold[401] = 1024
Hardware[402] = 0,	 gold[402] = 0
Hardware[403] = 0,	 gold[403] = 0
Hardware[404] = 0,	 gold[404] = 0
Hardware[405] = 8960,	 gold[405] = 8960
Hardware[406] = 632,	 gold[406] = 632
Hardware[407] = 10,	 gold[407] = 10
Hardware[408] = 4864,	 gold[408] = 4864
Hardware[409] = 0,	 gold[409] = 0
Hardware[410] = 30,	 gold[410] = 30
Hardware[411] = 256,	 gold[411] = 256
Hardware[412] = 0,	 gold[412] = 0
Hardware[413] = 0,	 gold[413] = 0
Hardware[414] = 4608,	 gold[414] = 4608
Hardware[415] = 0,	 gold[415] = 0
Hardware[416] = 97,	 gold[416] = 97
Hardware[417] = 2,	 gold[417] = 2
Hardware[418] = 0,	 gold[418] = 0
Hardware[419] = 0,	 gold[419] = 0
Hardware[420] = 30,	 gold[420] = 30
Hardware[421] = 1792,	 gold[421] = 1792
Hardware[422] = 5,	 gold[422] = 5
Hardware[423] = 512,	 gold[423] = 512
Hardware[424] = 1280,	 gold[424] = 1280
Hardware[425] = 2816,	 gold[425] = 2816
Hardware[426] = 97,	 gold[426] = 97
Hardware[427] = 8,	 gold[427] = 8
Hardware[428] = 0,	 gold[428] = 0
Hardware[429] = 0,	 gold[429] = 0
Hardware[430] = 77,	 gold[430] = 77
Hardware[431] = 14336,	 gold[431] = 14336
Hardware[432] = 0,	 gold[432] = 0
Hardware[433] = 13056,	 gold[433] = 13056
Hardware[434] = 1280,	 gold[434] = 1280
Hardware[435] = 5,	 gold[435] = 5
Hardware[436] = 353,	 gold[436] = 353
Hardware[437] = 1,	 gold[437] = 1
Hardware[438] = 12288,	 gold[438] = 12288
Hardware[439] = 0,	 gold[439] = 0
Hardware[440] = 41215,	 gold[440] = 41215
Hardware[441] = 58594,	 gold[441] = 58594
Hardware[442] = 11530,	 gold[442] = 11530
Hardware[443] = 56836,	 gold[443] = 56836
Hardware[444] = 39948,	 gold[444] = 39948
Hardware[445] = 255,	 gold[445] = 255
Hardware[446] = 65280,	 gold[446] = 65280
Hardware[447] = 65535,	 gold[447] = 65535
Hardware[448] = 48433,	 gold[448] = 48433
Hardware[449] = 65280,	 gold[449] = 65280
Hardware[450] = 65280,	 gold[450] = 65280
Hardware[451] = 65535,	 gold[451] = 65535
Hardware[452] = 17664,	 gold[452] = 17664
Hardware[453] = 31040,	 gold[453] = 31040
Hardware[454] = 44874,	 gold[454] = 44874
Hardware[455] = 65535,	 gold[455] = 65535
Hardware[456] = 45824,	 gold[456] = 45824
Hardware[457] = 54435,	 gold[457] = 54435
Hardware[458] = 93,	 gold[458] = 93
Hardware[459] = 44654,	 gold[459] = 44654
Hardware[460] = 26,	 gold[460] = 26
Hardware[461] = 31744,	 gold[461] = 31744
Hardware[462] = 0,	 gold[462] = 0
Hardware[463] = 4366,	 gold[463] = 4366
Hardware[464] = 1280,	 gold[464] = 1280
Hardware[465] = 33280,	 gold[465] = 33280
Hardware[466] = 106,	 gold[466] = 106
Hardware[467] = 4130,	 gold[467] = 4130
Hardware[468] = 6949,	 gold[468] = 6949
Hardware[469] = 4,	 gold[469] = 4
Hardware[470] = 30,	 gold[470] = 30
Hardware[471] = 256,	 gold[471] = 256
Hardware[472] = 0,	 gold[472] = 0
Hardware[473] = 512,	 gold[473] = 512
Hardware[474] = 1280,	 gold[474] = 1280
Hardware[475] = 0,	 gold[475] = 0
Hardware[476] = 97,	 gold[476] = 97
Hardware[477] = 0,	 gold[477] = 0
Hardware[478] = 0,	 gold[478] = 0
Hardware[479] = 0,	 gold[479] = 0
Hardware[480] = 30,	 gold[480] = 30
Hardware[481] = 256,	 gold[481] = 256
Hardware[482] = 0,	 gold[482] = 0
Hardware[483] = 512,	 gold[483] = 512
Hardware[484] = 4608,	 gold[484] = 4608
Hardware[485] = 0,	 gold[485] = 0
Hardware[486] = 97,	 gold[486] = 97
Hardware[487] = 2,	 gold[487] = 2
Hardware[488] = 0,	 gold[488] = 0
Hardware[489] = 0,	 gold[489] = 0
Total Differences: 0
Interrupt count = 2

